Dog Breed,Min Height,Max Height
Bayerischer Gebirgsschweisshund,47,52
Bergamasker Hirtenhund,58,62
Bernhardiner,65,90
Bichon Frisé,23,30
Bolonka Zwetna,24,26
Bracke,40,53
Bulldog,31,40
Cao de Agua Portugues,43,57
Chihuahua kurzhaariger Schlag,15,23
Chihuahua langhaariger Schlag,15,23
Cockerpoo,25,38
Collie,51,61
Deutscher Jagdterrier,33,40
Drahthaar-Foxterrier,36,39
English Springer Spaniel,48,51
Glatthaar-Foxterrier,36,39
Gordon Setter,58,69
Griffon Bruxellois,18,20
Grosser Schweizer Sennenhund,65,72
Irish Setter,58,67
Italienisches Windspiel,32,38
Japan-Chin,20,27
Kerry Blue Terrier,44,48
Langhaardackel,20,27
Leonberger,65,80
Lhasa Apso,25,28
Lurcher,56,71
Löwchen,25,33
Norfolk-Terrier,23,25
Puli,36,44
Rauhhaardackel (Zwergdackel),14,21
Saluki,58,71
Samojede,48,60
Schnauzer,45,50
Sheltie,33,41
Siberian Husky,50,60
Skye Terrier,25,26
Spitz,18,22
Staffordshire-Bullterrier,36,41
Steirische Rauhhaarige Hochgebirgsbracke,45,53
Tibet-Terrier,36,41
Welsh Corgi Cardigan,25,33
Welsh Corgi Pembroke,25,30
West Highland White Terrier,25,28
Whippet,44,56
Zwergpinscher,25,30
Aussiedoodle,30,58
Balkanbracke,46,55
Barsoi,68,85
Bedlington-Terrier,38,44
Deutscher Schäferhund Brauner langhaariger Schlag,55,65
English Setter,61,69
Griffon Belge,18,20
Hollandse Herdershond,55,62
Irish Soft Coated Wheaten Terrier,46,48
Jagdterrier,33,40
Kooikerhond,35,40
Kromfohrländer,38,46
Kuvasz,66,76
Labradoodle,53,61
Lakeland-Terrier,33,38
Landseer,72,80
Mittelspitz,30,38
Podenco Ibicenco,56,74
Pointer,61,69
Prager Rattler,20,23
Pumi,38,47
Riesenschnauzer,60,70
Shiloh Shepherd,66,76
Sussex-Spaniel,38,41
Tibet-Spaniel,25,26
Volpino,25,30
Windhund,60,76
Wolfsspitz,43,55
Zwergschnauzer,30,35
Zwergschäferhund,30,35
Österreichischer Pinscher,35,50
Barbet,52,65
Chesapeake Bay Retriever,53,66
Deutscher Wolfsspitz,43,55
Dänischer Bauernhund,32,35
Irish red-and-white Setter,57,61
Kurzhaardackel,20,27
Mastiff,70,91
Pharaonenhund,53,63
Polnischer Niederungshütehund,42,50
Ratero,20,30
Schapendoes,40,50
Sloughi,61,72
Soft-Coated Wheaten Terrier,46,48
Spinone,60,70
Welsh Springer Spaniel,46,48
American Foxhound,53,64
Kangal,70,81
Mexikanischer Nackthund,25,60
Ungarische Bracke,55,65
Brabancon,18,20
Francais Tricolore,62,72
Griffon Nivernais,55,60
Japanischer Spitz,30,37
Perro de Agua Espanol,40,50
Podengo Portugueso Pequeno,20,30
Tosa Inu,60,82
Berger de Pyrénées,38,48
Pudelpointer,55,66
Azawakh,60,74
Klein- oder Mittelpudel,28,45
Kurzhaariger Collie,51,61
Nova Scotia Duck Tolling Retriever,45,54
Cesky Fousek,58,66
Norwegischer Buhund,41,47
Norwegischer Lundehund,32,38
Berner Laufhund,40,46
Phalene,20,28
Saarloos-Wolfhund,60,75
Ainu-Hund,45,55
Australian Silky Terrier,23,26
Berger Picard,55,65
Bosnischer Rauhhaariger Laufhund,46,56
Komondor,65,80
Maremmaner Hirtenhund,60,73
Norwegischer Elchhund,45,52
